Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,SE_GPI_PART,,AGG_5T8,IX,2021,0.62
2016,SE_GPI_PART,,AGG_5T8,IX,2021,0.64
2017,SE_GPI_PART,,AGG_5T8,IX,2021,0.64
2018,SE_GPI_PART,,AGG_5T8,IX,2021,0.67
2019,SE_GPI_PART,,AGG_5T8,IX,2021,0.75
2020,SE_GPI_PART,,AGG_5T8,IX,2021,0.78
2021,SE_GPI_PART,,AGG_5T8,IX,2021,0.91
2015,SE_GPI_PART,,ISCED11_02,IX,2021,1.15
2016,SE_GPI_PART,,ISCED11_02,IX,2021,1.14
2017,SE_GPI_PART,,ISCED11_02,IX,2021,1.15
2018,SE_GPI_PART,,ISCED11_02,IX,2021,1.14
2019,SE_GPI_PART,,ISCED11_02,IX,2021,1.15
2020,SE_GPI_PART,,ISCED11_02,IX,2021,1.15
2021,SE_GPI_PART,,ISCED11_02,IX,2021,1.17
2015,SE_GPI_PART,,ISCED11_1,IX,2021,1.1
2016,SE_GPI_PART,,ISCED11_1,IX,2021,1.12
2017,SE_GPI_PART,,ISCED11_1,IX,2021,1.15
2018,SE_GPI_PART,,ISCED11_1,IX,2021,1.15
2019,SE_GPI_PART,,ISCED11_1,IX,2021,1.17
2020,SE_GPI_PART,,ISCED11_1,IX,2021,1.17
2021,SE_GPI_PART,,ISCED11_1,IX,2021,1.18
2015,SE_GPI_PART,,ISCED11_2,IX,2021,1.1
2016,SE_GPI_PART,,ISCED11_2,IX,2021,1.13
2017,SE_GPI_PART,,ISCED11_2,IX,2021,1.16
2018,SE_GPI_PART,,ISCED11_2,IX,2021,1.16
2019,SE_GPI_PART,,ISCED11_2,IX,2021,1.18
2020,SE_GPI_PART,,ISCED11_2,IX,2021,1.21
2021,SE_GPI_PART,,ISCED11_2,IX,2021,1.21
2015,SE_GPI_PART,,ISCED11_3,IX,2021,0.93
2016,SE_GPI_PART,,ISCED11_3,IX,2021,0.96
2017,SE_GPI_PART,,ISCED11_3,IX,2021,1.01
2018,SE_GPI_PART,,ISCED11_3,IX,2021,1.05
2019,SE_GPI_PART,,ISCED11_3,IX,2021,1.09
2020,SE_GPI_PART,,ISCED11_3,IX,2021,1.14
2021,SE_GPI_PART,,ISCED11_3,IX,2021,1.2
